"pair_id","pair_label","source_group","family","subfamily","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART","ZBJ-Art","Lepidoptera","Gelechiidae","Apatetrinae",1,1,1,1,18.45,0,18.45,18.45,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Gelechiidae","Aristoteliinae",1,1,1,1,19.62,11.75,31.37,31.37,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Gelechiidae","Gelechiinae",2,2,2,1,0,0,0,0,1,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Geometridae","Ennominae",4,4,4,1,10.775,15.05,80.3,181.775,0,0.25
"ZBJ_ART","ZBJ-Art","Lepidoptera","Hesperiidae","Coeliadinae",1,1,1,1,3.55,0,3.55,3.55,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Hesperiidae","Hesperiinae",2,2,2,1,0,10.7,10.7,19.26,0.5,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Hesperiidae","Pyrginae",1,1,1,1,0,6.95,6.95,6.95,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Hesperiidae","Tagiadinae",4,4,4,1,2.15,18.15,29.5,38.65,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Lasiocampidae","Lasiocampinae",1,1,1,1,3.55,0,3.55,3.55,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Lycaenidae","Polyommatinae",1,1,1,1,0,0,0,0,1,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Lycaenidae","Theclinae",2,2,2,1,0,50.2,50.2,90.36,0.5,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Noctuidae","Acronictinae",2,2,2,1,24.875,20.725,45.6,49.64,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Noctuidae","Agaristinae",1,1,1,1,22.4,11.55,33.95,33.95,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Noctuidae","Amphipyrinae",39,1,39,1,0,18.15,18.15,18.15,0,0.0256410256410256
"ZBJ_ART","ZBJ-Art","Lepidoptera","Noctuidae","Heliothinae",1,1,1,1,0,187.95,187.95,187.95,0,1
"ZBJ_ART","ZBJ-Art","Lepidoptera","Noctuidae","Noctuinae",5,4,5,1,0,18.15,18.15,48.45,0.4,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Noctuidae","Plusiinae",1,1,1,1,22.4,0,22.4,22.4,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Notodontidae","Notodontinae",1,1,1,1,0,12.05,12.05,12.05,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Notodontidae","Pygaerinae",1,1,1,1,0,0,0,0,1,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Nymphalidae","Apaturinae",2,2,2,1,32.21,112.425,144.635,202.263,0,0.5
"ZBJ_ART","ZBJ-Art","Lepidoptera","Nymphalidae","Calinaginae",1,1,1,1,0,5.1,5.1,5.1,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Nymphalidae","Charaxinae",2,2,2,1,0,103.425,103.425,162.085,0,0.5
"ZBJ_ART","ZBJ-Art","Lepidoptera","Nymphalidae","Heliconiinae",3,3,3,1,8.9,6.95,15.85,40.45,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Nymphalidae","Limenitidinae",6,6,6,1,3.1,2.55,4.1,27.75,0.166666666666667,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Nymphalidae","Nymphalinae",5,4,5,1,22.4,5.1,27.5,53.088,0,0
"ZBJ_ART","ZBJ-Art","Lepidoptera","Nymphalidae","Satyrinae",8,8,8,1,0,33.125,33.125,108.39,0.125,0.125
