"pair_id","pair_label","source_group","family","genus","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART","ZBJ-Art","Coleoptera","Coccinellidae","Megalocaria",1,1,1,1,254.55,0,254.55,254.55,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Coccinellidae","Nephus",1,1,1,1,466.95,18.2,485.15,485.15,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Coccinellidae","Scymnus",4,4,4,1,236.15,104.95,341.1,395.999,0,0.25
"ZBJ_ART","ZBJ-Art","Coleoptera","Cucujidae","Cucujus",1,1,1,1,159.17,135.1,294.27,294.27,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Cucujidae","Platisus",1,1,1,1,60.47,36.35,96.82,96.82,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Aclees",1,1,1,1,0,181.55,181.55,181.55,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Blosyrus",1,1,1,1,192.14,91.35,283.49,283.49,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Callirhopalus",1,1,1,1,30.1,11.75,41.85,41.85,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Catapionus",1,1,1,1,3.2,196.85,200.05,200.05,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Ceutorhynchus",2,2,2,1,15.05,106,121.05,185.21,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Dendroctonus",1,1,1,1,81.5,6.45,87.95,87.95,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Dereodus",1,1,1,1,0,158.27,158.27,158.27,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Dinoplatypus",1,1,1,1,110.79,120.1,230.89,230.89,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Dryocoetes",1,1,1,1,4.3,18.2,22.5,22.5,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Eubrychius",1,1,1,1,84.9,188.5,273.4,273.4,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Homorosoma",1,1,1,1,0,135.02,135.02,135.02,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Hylastes",1,1,1,1,0,196.85,196.85,196.85,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Hypothenemus",2,2,2,1,65.125,261.35,326.475,358.855,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Mecysmoderes",1,1,1,1,60.2,96.02,156.22,156.22,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Microplontus",1,1,1,1,0,104.5,104.5,104.5,0,1
