"pair_id","pair_label","source_group","family","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Ameronothridae",1,1,1,1,17.62,0,17.62,17.62,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Argasidae",38,24,38,1,89.2,15.075,123.9,299.625,0,0.236842105263158
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Arrenuridae",1,1,1,1,250.64,0,250.64,250.64,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Blattisociidae",2,2,2,1,530.535,0,530.535,567.123,0,1
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Demodicidae",1,1,1,1,619.95,60.12,680.07,680.07,0,1
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Dermanyssidae",1,1,1,1,545,29.7,574.7,574.7,0,1
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Ereynetidae",1,1,1,1,169.8,10.75,180.55,180.55,0,1
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Eriophyidae",3,3,3,1,63.22,21.75,88.72,195.12,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Eviphididae",2,2,0,0,,11.2,,,,
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Fortuyniidae",1,1,1,1,0,51.72,51.72,51.72,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Glycyphagidae",1,1,1,1,38.02,179.63,217.65,217.65,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Haemogamasidae",2,2,2,1,196.015,11.625,207.64,211.328,0,1
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Histiostomatidae",1,1,1,1,45.2,107.3,152.5,152.5,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Hygrobatidae",1,1,1,1,91.47,6.45,97.92,97.92,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Ixodidae",157,65,156,0.993630573248408,78,10.75,88.75,122.11,0,0.0128205128205128
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Laelapidae",2,2,2,1,950,5.6,955.6,1624.72,0,1
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Liodidae",1,1,1,1,0,0,0,0,1,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Macrochelidae",1,1,1,1,1841,11.2,1852.2,1852.2,0,1
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Parasitidae",2,2,0,0,,21.575,,,,
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Phytoseiidae",3,3,3,1,502.42,13.45,515.87,1536.414,0,1
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Psoroptidae",1,1,1,1,20.4,17.8,38.2,38.2,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Pyroglyphidae",1,1,1,1,20.4,29.85,50.25,50.25,0,0
